1,Basketball,Basketball Men's Basketball,,,
2,Judo,Judo Men's Extra-Lightweight,,,
3,Football,Football Men's Football,,,
4,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,4,,
5,Speed Skating,Speed Skating Women's 500 metres,,,
6,Speed Skating,"Speed Skating Women's 1,000 metres",,,
6,Speed Skating,Speed Skating Women's 500 metres,,,
7,Speed Skating,"Speed Skating Women's 1,000 metres",,,
7,Speed Skating,Speed Skating Women's 500 metres,,,
8,Speed Skating,"Speed Skating Women's 1,000 metres",,,
8,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,,,
8,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,,,
8,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,,,
8,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,,,
8,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,,
8,Athletics,Athletics Women's 100 metres,,,
9,Athletics,Athletics Women's 4 x 100 metres Relay,,,
9,Ice Hockey,Ice Hockey Men's Ice Hockey,,,
10,Swimming,Swimming Men's 400 metres Freestyle,,,
11,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,,
12,Badminton,Badminton Men's Singles,,,
13,Sailing,Sailing Women's Windsurfer,,,
14,Sailing,Sailing Women's Windsurfer,,,
14,Biathlon,Biathlon Women's 7.5 kilometres Sprint,,,
14,Swimming,Swimming Men's 200 metres Breaststroke,,,
15,Swimming,Swimming Men's 400 metres Breaststroke,,,15
15,Swimming,Swimming Men's 200 metres Breaststroke,,,15
16,Ice Hockey,Ice Hockey Men's Ice Hockey,,,16
17,Gymnastics,Gymnastics Men's Individual All-Around,,,17
18,Gymnastics,Gymnastics Men's Team All-Around,17,,17
18,Gymnastics,Gymnastics Men's Floor Exercise,,,
18,Gymnastics,Gymnastics Men's Horse Vault,17,,
18,Gymnastics,Gymnastics Men's Parallel Bars,,,
18,Gymnastics,Gymnastics Men's Horizontal Bar,,,
18,Gymnastics,Gymnastics Men's Rings,,,
18,Gymnastics,Gymnastics Men's Pommelled Horse,17,,
18,Gymnastics,Gymnastics Men's Individual All-Around,,,
18,Athletics,Athletics Men's Shot Put,,,
18,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",,,
18,Alpine Skiing,Alpine Skiing Men's Downhill,,20,
18,Alpine Skiing,Alpine Skiing Men's Super G,20,,20
18,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,,20
18,Alpine Skiing,Alpine Skiing Men's Slalom,,,
18,Alpine Skiing,Alpine Skiing Men's Combined,,20,
19,Alpine Skiing,Alpine Skiing Men's Super G,20,,
19,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,,
19,Alpine Skiing,Alpine Skiing Men's Combined,20,,
19,Alpine Skiing,Alpine Skiing Men's Downhill,,,
19,Alpine Skiing,Alpine Skiing Men's Slalom,,,
20,Alpine Skiing,Alpine Skiing Men's Super G,20,,
20,Handball,Handball Women's Handball,21,,
21,Weightlifting,Weightlifting Women's Super-Heavyweight,,,
22,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,,
23,Speed Skating,Speed Skating Men's 500 metres,,,
24,Speed Skating,"Speed Skating Men's 1,500 metres",,,
25,Gymnastics,"Gymnastics Men's Team All-Around, Free System",,25,
25,Luge,Luge Women's Singles,,,
26,Water Polo,Water Polo Men's Water Polo,,,
27,Sailing,Sailing Mixed Three Person Keelboat,,,
28,Sailing,Sailing Mixed Three Person Keelboat,,,
29,Hockey,Hockey Women's Hockey,,,29
30,Rowing,Rowing Men's Lightweight Double Sculls,,30,
30,Athletics,Athletics Men's Pole Vault,,,
31,Athletics,Athletics Men's High Jump,,,
31,Sailing,Sailing Men's Two Person Dinghy,,,
31,Athletics,"Athletics Men's 1,500 metres",,,
31,Bobsleigh,Bobsleigh Men's Four,,,
31,Swimming,Swimming Men's 100 metres Butterfly,,,
31,Swimming,Swimming Men's 200 metres Butterfly,,,
31,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,,
